link,Name,Brand,fl_oz,calories,Caffeine,mg/floz,Type,pic_link
/caffeine-content/coffee-bean-tea-leaf-coffee,Coffee Bean & Tea leaf Coffee,other,16,5,333,20.8,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/coffee-bean-tea-leaf-coffee.jpg
/caffeine-content/coffee-friend,Coffee Friend Brewed Coffee,other,8.46,0,145,17.1,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/coffee-friend.jpg
/caffeine-content/coffee-leaf-tea,Coffee Leaf Tea,other,8,0,20,2.5,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/coffee-leaf-tea.jpg
/caffeine-content/cogo-hot-chocolate,COGO Caffeinated Hot Chocolate,other,6,110,98,16.3,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/cogo-hot-chocolate.jpg
/caffeine-content/cold-brew-tea,Cold Brew Tea,other,8,0,70,8.8,Tea,https://www.caffeineinformer.com/wp-content/caffeine/cold-brew-tea.jpg
/caffeine-content/cool-brew-coffee,CoolBrew Coffee,other,10,0,60,6,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/cool-brew-coffee.jpg
/caffeine-content/costa-coffee,Costa Coffee,other,10.14,222,241,23.8,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/costa-coffee.jpg
/caffeine-content/cranenergy,Cran Energy Juice,other,10,40,70,7,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/cranenergy.jpg
/caffeine-content/crave-energy-drink-mix,Crave Energy Drink (UK),other,8.43,10,80,9.5,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/crave-energy-drink-mix.jpg
/caffeine-content/crio-bru,Crio Bru Brewed Cacao,other,8,20,10,1.2,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/crio-bru.jpg
/caffeine-content/crunk-energy-drink,Crunk Energy Drink,other,16,200,192,12,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/crunk-energy-drink.jpg
/caffeine-content/crystal-light-energy,Crystal Light Energy Mix,other,16,10,60,3.8,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/crystal-light-energy.jpg
/caffeine-content/crystal-light-iced-tea,Crystal Light Iced Tea,other,8,5,10,1.2,Tea,https://www.caffeineinformer.com/wp-content/caffeine/crystal-light-iced-tea.jpg
/caffeine-content/dare-iced-coffee,Dare Iced Coffee,other,16.91,429,160,9.5,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/dare-iced-coffee.jpg
/caffeine-content/dark-dog-energy-drink,Dark Dog Organic Energy,other,12,110,114,9.5,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/dark-dog-energy-drink.jpg
/caffeine-content/death-wish-canned-cold-brew-coffee,Death Wish Canned Cold Brew,other,8,15,300,37.5,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/death-wish-canned-cold-brew-coffee.jpg
/caffeine-content/death-wish-coffee,Death Wish Coffee,other,12,0,728,60.7,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/death-wish-coffee.jpg
/caffeine-content/death-wish-latte,Death Wish Latte,other,8,170,300,37.5,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/death-wish-latte.jpg
/caffeine-content/coffee-decaf-brewed,Decaf Coffee,other,8,2,6,0.7,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/coffee-decaf-brewed.jpg
/caffeine-content/demon-energy,Demon Energy Drink,other,16.91,253,160,9.5,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/demon-energy.jpg
/caffeine-content/diet-barqs,Diet Barqs Root Beer,other,12,0,0,0,Soda,https://www.caffeineinformer.com/wp-content/caffeine/diet-barqs.jpg
/caffeine-content/diet-cheerwine,Diet Cheerwine,other,12,0,47,3.9,Soda,https://www.caffeineinformer.com/wp-content/caffeine/diet-cheerwine.jpg
/caffeine-content/diet-coke,Diet Coke,other,12,0,46,3.8,Soda,https://www.caffeineinformer.com/wp-content/caffeine/diet-coke.jpg
